noble title (P97),9204,0.74
licence plate code (P395),9012,0.73
location of formation (P740),8996,0.73
religious order (P611),8606,0.69
number of children (P1971),8571,0.69
voice type (P412),8564,0.69
parent organization (P749),8458,0.68
historic county (P7959),8414,0.68
dissolved, abolished or demolished date (P576),8379,0.68
twinned administrative body (P190),8365,0.67
category for maps (P7867),8212,0.66
category for people who died here (P1465),7791,0.63
related category (P7084),7635,0.62
relative (P1038),7532,0.61
significant event (P793),7520,0.61
member of sports team (P54),7503,0.6
office held by head of government (P1313),7388,0.6
pronunciation audio (P443),6910,0.56
contains administrative territorial entity (P150),6761,0.55
height (P2048),6718,0.54
second family name in Spanish name (P1950),6548,0.53
female population (P1539),6543,0.53
male population (P1540),6532,0.53
category for alumni of educational institution (P3876),6404,0.52
allegiance (P945),6101,0.49
candidacy in election (P3602),6082,0.49
owner of (P1830),6058,0.49
located in or next to body of water (P206),5945,0.48
date of official opening (P1619),5904,0.48
discography (P358),5864,0.47
short name (P1813),5851,0.47
publication date (P577),5830,0.47
affiliation (P1416),5784,0.47
composer (P86),5642,0.45
head of government (P6),5542,0.45
title (P1476),5465,0.44
industry (P452),5455,0.44
position played on team / speciality (P413),5357,0.43
owned by (P127),5236,0.42
country for sport (P1532),5194,0.42
commemorative plaque image (P1801),5186,0.42
list of monuments (P1456),5184,0.42
influenced by (P737),5153,0.42
consecrator (P1598),5143,0.41
water as percent of area (P2927),4701,0.38
work period (end) (P2032),4647,0.37
language of work or name (P407),4638,0.37
mass (P2067),4533,0.37
operator (P137),4263,0.34
architectural style (P149),4195,0.34
medical condition (P1050),4176,0.34
replaces (P1365),4146,0.33
subsidiary (P355),3995,0.32
unmarried partner (P451),3952,0.32
e-mail address (P968),3948,0.32
associated electoral district (P7938),3827,0.31
length (P2043),3692,0.3
place of detention (P2632),3630,0.29
phone number (P1329),3618,0.29
start time (P580),3532,0.28
Commons Institution page (P1612),3511,0.28
chairperson (P488),3502,0.28
architect (P84),3494,0.28
number of households (P1538),3460,0.28
point in time (P585),3434,0.28
topic's main template (P1424),3377,0.27
nickname (P1449),3312,0.27
catalog code (P528),3304,0.27
honorific prefix (P511),3202,0.26
applies to jurisdiction (P1001),3090,0.25
diocese (P708),3084,0.25
OS grid reference (P613),3003,0.24
floruit (P1317),2914,0.23
political ideology (P1142),2896,0.23
replaced by (P1366),2871,0.23
exact match (P2888),2808,0.23
follows (P155),2737,0.22
time period (P2348),2723,0.22
followed by (P156),2722,0.22
original language of film or TV show (P364),2714,0.22
employees (P1128),2699,0.22
seal image (P158),2687,0.22
director (P57),2628,0.21
end time (P582),2624,0.21
continent (P30),2602,0.21
geoshape (P3896),2596,0.21
cast member (P161),2588,0.21
located on terrain feature (P706),2578,0.21
color (P462),2576,0.21
duration (P2047),2556,0.21
demonym (P1549),2527,0.2
convicted of (P1399),2469,0.2
language used (P2936),2440,0.2
distributed by (P750),2438,0.2
director / manager (P1037),2438,0.2
canonization status (P411),2394,0.19
narrative location (P840),2389,0.19
official language (P37),2367,0.19
producer (P162),2316,0.19
said to be the same as (P460),2300,0.19
screenwriter (P58),2283,0.18
maintained by WikiProject (P6104),2262,0.18
coat of arms (P237),2250,0.18
flag (P163),2243,0.18
professorship (P803),2221,0.18
has quality (P1552),2172,0.18
feast day (P841),2161,0.17
Carnegie Classification of Institutions of Higher Education (P2643),2161,0.17
main subject (P921),2147,0.17
copyright status (P6216),2147,0.17
category for employees of the organization (P4195),2116,0.17
director of photography (P344),2055,0.17
product or material produced (P1056),2053,0.17
category of people buried here (P1791),2027,0.16
blood type (P1853),1991,0.16
production company (P272),1934,0.16
total revenue (P2139),1910,0.15
Erdős number (P2021),1877,0.15
author (P50),1803,0.15
represented by (P1875),1796,0.14
taxon rank (P105),1792,0.14
taxon name (P225),1792,0.14
parent taxon (P171),1792,0.14
based on (P144),1764,0.14
author citation (zoology) (P835),1727,0.14
located on street (P669),1710,0.14
mouth of the watercourse (P403),1710,0.14
manufacturer (P176),1689,0.14
doctoral thesis (P1026),1686,0.14
league (P118),1674,0.13
use (P366),1635,0.13
film editor (P1040),1633,0.13
students count (P2196),1598,0.13
category for the interior of the item (P7561),1585,0.13
motto text (P1451),1537,0.12
drainage basin (P4614),1526,0.12
spoken text audio (P989),1497,0.12
highest point (P610),1493,0.12
width (P2049),1471,0.12
contributed to creative work (P3919),1459,0.12
interested in (P2650),1450,0.12
dedicated to (P825),1416,0.11
API endpoint (P6269),1410,0.11
FSK film rating (P1981),1407,0.11
creator (P170),1405,0.11
visitors per year (P1174),1386,0.11
IUCN protected areas category (P814),1383,0.11
time of earliest written record (P1249),1372,0.11
date of first performance (P1191),1362,0.11
coordinates of northernmost point (P1332),1359,0.11
legislative body (P194),1329,0.11
material used (P186),1321,0.11
coordinates of easternmost point (P1334),1320,0.11
official blog (P1581),1318,0.11
tributary (P974),1316,0.11
coordinates of westernmost point (P1335),1314,0.11
stock exchange (P414),1306,0.11
sexual orientation (P91),1304,0.11
coordinates of southernmost point (P1333),1303,0.11
present in work (P1441),1303,0.11
taxon common name (P1843),1302,0.1
office held by head of the organization (P2388),1297,0.1
participant (P710),1295,0.1
mountain range (P4552),1268,0.1
tonality (P826),1266,0.1
hair color (P1884),1265,0.1
fax number (P2900),1244,0.1
competition class (P2094),1244,0.1
Revised Romanization (P2001),1226,0.1
facet of (P1269),1216,0.1
significant place (P7153),1197,0.1
topic's main Wikimedia portal (P1151),1191,0.1
member category (P6365),1188,0.1
eye color (P1340),1180,0.1
IPA transcription (P898),1180,0.1
date of baptism in early childhood (P1636),1163,0.09
filming location (P915),1119,0.09
McCune-Reischauer romanization (P1942),1116,0.09
watershed area (P2053),1116,0.09
commander of (DEPRECATED) (P598),1112,0.09
publisher (P123),1109,0.09
history of topic (P2184),1099,0.09
filmography (P1283),1092,0.09
characters (P674),1086,0.09
derivative work (P4969),1080,0.09
test taken (P5021),1068,0.09
CNC film rating (France) (P2758),1056,0.09
Human Development Index (P1081),1053,0.08
patron saint (P417),1015,0.08
category for films shot at this location (P1740),1014,0.08
IPv6 routing prefix (P3793),995,0.08
economy of topic (P8744),977,0.08
Medierådet rating (P5970),972,0.08
permanent duplicated item (P2959),970,0.08
Academia.edu profile URL (P5715),968,0.08
member count (P2124),944,0.08
name (P2561),943,0.08
has list (P2354),932,0.08
significant person (P3342),924,0.07
librettist (P87),914,0.07
sRGB color hex triplet (P465),914,0.07
Wikidata property (P1687),912,0.07
partner in business or sport (P1327),875,0.07
developer (P178),851,0.07
aspect ratio (P2061),841,0.07
instrumentation (P870),824,0.07
collage image (P2716),820,0.07
depicted by (P1299),819,0.07
basin country (P205),811,0.07
chief executive officer (P169),805,0.06
has edition or translation (P747),796,0.06
Unicode character (P487),792,0.06
total produced (P1092),782,0.06
located in protected area (P3018),774,0.06
opposite of (P461),764,0.06
uses (P2283),759,0.06
service entry (P729),753,0.06
number of hospital beds (P6801),748,0.06
production designer (P2554),740,0.06
IPv4 routing prefix (P3761),739,0.06
title of chess person (P2962),733,0.06
performer (P175),719,0.06
practiced by (P3095),709,0.06
writing system (P282),707,0.06
OpenStreetMap tag or key (P1282),706,0.06
social classification (P3716),701,0.06
part of the series (P179),698,0.06
school district (P5353),697,0.06
married name (P2562),691,0.06
home venue (P115),683,0.06
sports discipline competed in (P2416),676,0.05
sponsor (P859),675,0.05
military casualty classification (P1347),673,0.05
place name sign (P1766),672,0.05
first flight (P606),672,0.05
IUCN conservation status (P141),670,0.05
IUCN taxon ID (P627),670,0.05
head coach (P286),658,0.05
operating area (P2541),648,0.05
indigenous to (P2341),644,0.05
detail map (P1621),644,0.05
ICAO airport code (P239),644,0.05
has parts of the class (P2670),641,0.05
executive body (P208),637,0.05
after a work by (P1877),627,0.05
Filmiroda rating (P2747),624,0.05
video (P10),624,0.05
maintained by (P126),614,0.05
Ethnologue language status (P3823),611,0.05
currency (P38),611,0.05
geography of topic (P2633),602,0.05
image of interior (P5775),602,0.05
date of official closure (P3999),602,0.05
IATA airport code (P238),601,0.05
political alignment (P1387),596,0.05
audio recording of the subject's spoken voice (P990),595,0.05
taxon range map image (P181),594,0.05
location of first performance (P4647),594,0.05
maximum capacity (P1083),584,0.05
has written for (P6872),578,0.05
route map (P15),572,0.05
electoral district (P768),571,0.05
is a list of (P360),567,0.05
occupant (P466),557,0.04
date of burial or cremation (P4602),557,0.04
studied by (P2579),556,0.04
collection (P195),551,0.04
subject has role (P2868),550,0.04
lifestyle (P1576),549,0.04
female form of label (P2521),549,0.04
culture (P2596),547,0.04
Elo rating (P1087),544,0.04
anthem (P85),542,0.04
contains settlement (P1383),541,0.04
discoverer or inventor (P61),535,0.04
location map (P1943),531,0.04
Wikimedia outline (P5125),530,0.04
service retirement (P730),528,0.04
World Heritage criteria (P2614),528,0.04
external data available at (P1325),526,0.04
place of origin (Switzerland) (P1321),522,0.04
designed by (P287),520,0.04
Stack Exchange tag (P1482),517,0.04
costume designer (P2515),510,0.04
schematic (P5555),507,0.04
cost (P2130),498,0.04
box office (P2142),496,0.04
commissioned by (P88),494,0.04
Open Data portal (P8402),492,0.04
literate population (P6499),485,0.04
illiterate population (P6498),485,0.04
coach of sports team (P6087),484,0.04
executive producer (P1431),483,0.04
runway (P529),479,0.04
place served by transport hub (P931),477,0.04
GRIN URL (P1421),476,0.04
basic form of government (P122),468,0.04
has effect (P1542),463,0.04
courtesy name (P1782),458,0.04
drafted by (P647),454,0.04
audio (P51),450,0.04
number of matches played/races/starts (P1350),448,0.04
urban population (P6343),445,0.04
rural population (P6344),444,0.04
Roman nomen gentilicium (P2359),443,0.04
gens (P5025),433,0.03
nighttime view (P3451),432,0.03
track gauge (P1064),422,0.03
biography at the Bundestag of Germany URL (P1713),420,0.03
powered by (P516),420,0.03
rector (P1075),415,0.03
total goals in career (P6509),414,0.03
Roman praenomen (P2358),411,0.03
category related to list (P1754),408,0.03
FAA airport code (P240),407,0.03
health specialty (P1995),406,0.03
legislated by (P467),404,0.03
number of parts of this work (P2635),403,0.03
killed by (P157),395,0.03
art-name (P1787),394,0.03
discharge (P2225),393,0.03
licensed to broadcast to (P1408),391,0.03
time of discovery or invention (P575),388,0.03
topographic prominence (P2660),387,0.03
signatory (P1891),387,0.03
vertical depth (P4511),383,0.03
hashtag (P2572),382,0.03
victory (P2522),378,0.03
item operated (P121),377,0.03
chemical formula (P274),375,0.03
Catholic rite (P3501),374,0.03
lake outflow (P201),371,0.03
JMK film rating (P3650),365,0.03
authority (P797),357,0.03
inflows (P200),357,0.03
has cause (P828),355,0.03
lowest point (P1589),352,0.03
canonical SMILES (P233),342,0.03
equivalent class (P1709),341,0.03
WordLift URL (P6363),340,0.03
Irish Grid Reference (P4091),333,0.03
web feed URL (P1019),332,0.03
field of this occupation (P425),332,0.03
main regulatory text (P92),332,0.03
category for members of a team (P6112),331,0.03
list of works (P1455),327,0.03
cathedral (P1885),324,0.03
penalty (P1596),323,0.03
number of speakers (P1098),323,0.03
bodies of water basin category (P1200),323,0.03
NCI Thesaurus ID (P1748),323,0.03
academic major (P812),322,0.03
place of publication (P291),322,0.03
number of seats (P1342),317,0.03
Köppen climate classification (P2564),312,0.03
head of state (P35),311,0.03
male form of label (P3321),310,0.02
origin of the watercourse (P885),308,0.02
Sandbox-String (P370),305,0.02
handedness (P552),304,0.02
historical region (P6885),304,0.02
plan view image (P3311),302,0.02
original broadcaster (P449),301,0.02
visitor centre (P2872),298,0.02
patronage (P3872),297,0.02
number of deaths (P1120),295,0.02
public holiday (P832),288,0.02
wingspan (P2050),288,0.02
floors above ground (P1101),286,0.02
office held by head of state (P1906),286,0.02
set in period (P2408),286,0.02
foundational text (P457),284,0.02
NMHH film rating (P2363),283,0.02
depicts (P180),280,0.02
lyrics by (P676),280,0.02
linguistic typology (P4132),280,0.02
series ordinal (P1545),279,0.02
board member (P3320),279,0.02
directions (P2795),277,0.02
ancestral home (P66),277,0.02
net profit (P2295),276,0.02
budget (P2769),272,0.02
preferred pronoun (P6553),272,0.02
CNC film rating (Romania) (P3402),269,0.02
electorate (P1831),269,0.02
from narrative universe (P1080),267,0.02
birthday (P3150),267,0.02
total assets (P2403),265,0.02
number of episodes (P1113),263,0.02
author name string (P2093),263,0.02
income classification (Philippines) (P1879),263,0.02
secretary general (P3975),261,0.02
appears in the heritage monument list (P2817),261,0.02
country calling code (P474),260,0.02
KML file (P3096),259,0.02
top-level Internet domain (P78),259,0.02
net worth (P2218),253,0.02
honorific suffix (P1035),252,0.02
connects with (P2789),251,0.02
editor (P98),249,0.02
official color (P6364),248,0.02
armament (P520),246,0.02
film poster (P3383),242,0.02
nominal GDP per capita (P2132),241,0.02
musical conductor (P3300),241,0.02
ICAA rating (P3306),241,0.02
adjacent station (P197),240,0.02
separated from (P807),240,0.02
stepparent (P3448),238,0.02
nominal GDP (P2131),238,0.02
inspired by (P941),237,0.02
diplomatic relation (P530),237,0.02
platform (P400),236,0.02
takes place in fictional universe (P1434),236,0.02
inventory number (P217),236,0.02
street address (DEPRECATED) (P969),234,0.02
partially coincident with (P1382),234,0.02
shooting handedness (P423),233,0.02
Fach (P1731),232,0.02
number of seasons (P2437),230,0.02
chemical structure (P117),230,0.02
mother house (P612),230,0.02
brand (P1716),229,0.02
Soundex (P3878),229,0.02
monogram (P1543),228,0.02
mains voltage (P2884),228,0.02
used by (P1535),228,0.02
generational suffix (P8017),227,0.02
sport number (P1618),227,0.02
driving side (P1622),227,0.02
maritime identification digits (P2979),227,0.02
emergency phone number (P2852),226,0.02
time in space (P2873),225,0.02
full work available at URL (P953),225,0.02
electrical plug type (P2853),225,0.02
properties for this type (P1963),220,0.02
MPAA film rating (P1657),220,0.02
website account on (P553),220,0.02
IATA airline designator (P229),219,0.02
melting point (P2101),216,0.02
life expectancy (P2250),216,0.02
media franchise (P8345),215,0.02
collection or exhibition size (P1436),214,0.02
ICAO airline designator (P230),214,0.02
house publication (P2813),214,0.02
members have occupation (P3989),213,0.02
connecting line (P81),212,0.02
annual number of weddings (P5982),210,0.02
catalog (P972),209,0.02
published in (P1433),209,0.02
worshipped by (P1049),209,0.02
astronaut mission (P450),209,0.02
total fertility rate (P4841),205,0.02
density (P2054),204,0.02
number of houses (P4080),202,0.02
RTC film rating (P3834),202,0.02
distribution format (P437),201,0.02
related image (P6802),198,0.02
country of registry (P8047),198,0.02
fiscal/tax revenue (P3087),198,0.02
godparent (P1290),197,0.02
PPP GDP per capita (P2299),197,0.02
academic appointment (P8413),196,0.02
airline hub (P113),196,0.02
GDP (PPP) (P4010),196,0.02
located in the ecclesiastical territorial entity (P5607),194,0.02
Caverphone (P3880),194,0.02
inflation rate (P1279),194,0.02
real gross domestic product growth rate (P2219),193,0.02
ICD-9-CM (P1692),191,0.02
list of episodes (P1811),191,0.02
total points in career (P6544),190,0.02
order of battle (P4220),190,0.02
penalty minutes in career (P6546),189,0.02
total assists in career (P6545),189,0.02
URL (P2699),187,0.02
reporting mark (P1471),187,0.02
mobile country code (P2258),187,0.02
Kijkwijzer rating (P2684),186,0.01
UNESCO language status (P1999),184,0.01
volume as quantity (P2234),184,0.01
LEM ID (P920),183,0.01
voice actor (P725),183,0.01
Wikimedia language code (P424),181,0.01
number of out-of-school children (P2573),180,0.01
marriageable age (P3000),179,0.01
organizer (P664),178,0.01
soundtrack release (P406),177,0.01
terminus (P559),176,0.01
studies (P2578),175,0.01
litter size (P7725),174,0.01
BBFC rating (P2629),174,0.01
first line (P1922),174,0.01
posthumous name (P1786),174,0.01
Alexa rank (P1661),172,0.01
operating system (P306),172,0.01
enemy of (P7047),170,0.01
lakes on river (P469),168,0.01
operating income (P3362),167,0.01
business division (P199),167,0.01
state of conservation (P5816),166,0.01
icon (P2910),165,0.01
payment types accepted (P2851),164,0.01
total shots in career (P6543),164,0.01
career plus-minus rating (P6547),164,0.01
this taxon is source of (P1672),164,0.01
highway system (P16),163,0.01
central bank (P1304),161,0.01
religious name (P1635),160,0.01
copyright license (P275),160,0.01
software version identifier (P348),160,0.01
traffic sign (P14),159,0.01
relief location map (P1944),159,0.01
unemployment rate (P1198),159,0.01
VAT-rate (P2855),159,0.01
defining formula (P2534),158,0.01
playing hand (P741),158,0.01
game mode (P404),157,0.01
maximum operating altitude (P2254),156,0.01
online catalog (P8768),156,0.01
catchphrase (P6251),155,0.01
perimeter (P2547),154,0.01
curriculum vitae URL (P8214),153,0.01
ACM Classification Code (2012) (P2179),152,0.01
mascot (P822),150,0.01
boiling point (P2102),147,0.01
source of income (P2770),146,0.01
safety classification and labelling (P4952),146,0.01
number of participants (P1132),146,0.01
date of disappearance (P746),144,0.01
drug used for treatment (P2176),144,0.01
content partnership category (P8464),143,0.01
fabrication method (P2079),143,0.01
crosses (P177),142,0.01
adjacent building (P3032),141,0.01
singles record (P564),141,0.01
location of creation (P1071),140,0.01
distribution map (P1846),139,0.01
highest observed lifespan (P4214),138,0.01
motto (P1546),138,0.01
draft (P2262),137,0.01
BTI Status Index (P8477),137,0.01
BTI Governance Index (P8476),137,0.01
ClassInd rating (P3216),137,0.01
age of majority (P2997),137,0.01
beam (P2261),136,0.01
has fruit type (P4000),135,0.01
doubles record (P555),135,0.01
prize money (P2121),135,0.01
partnership with (P2652),133,0.01
last line (P3132),132,0.01
ranking (P1352),131,0.01
NIOSH Pocket Guide ID (P1931),131,0.01
main building contractor (P193),131,0.01
RCQ classification (P6658),131,0.01
structural engineer (P631),130,0.01
vapor pressure (P2119),129,0.01
permanent resident of (P5389),129,0.01
highest judicial authority (P209),129,0.01
commemorates (P547),128,0.01
patronym or matronym for this person (P5056),127,0.01
list of characters (P1881),127,0.01
coextensive with (P3403),127,0.01
number of injured (P1339),127,0.01
Patientplus ID (P1461),126,0.01
romanization of Belarusian (2007 system) (P5412),126,0.01
subtitle (P1680),125,0.01
GS1 country code (P3067),125,0.01
located in present-day administrative territorial entity (P3842),123,0.01
number of platform tracks (P1103),121,0.01
MCN code (P1987),121,0.01
emergency services (P6855),120,0.01
panoramic view (P4291),120,0.01
trunk prefix (P3238),119,0.01
time-weighted average exposure limit (P2404),118,0.01
Merchant Category Code (P4573),118,0.01
input method (P479),118,0.01
edition number (P393),118,0.01
dam (P4792),117,0.01
Cologne phonetics (P3879),117,0.01
total equity (P2137),117,0.01
has facility (P912),116,0.01
programming paradigm (P3966),116,0.01
start point (P1427),115,0.01
programming language (P277),115,0.01
category for eponymous categories (P6186),113,0.01
streaming media URL (P963),113,0.01
structure replaces (P1398),113,0.01
Roman cognomen (P2365),112,0.01
road number (P1824),112,0.01
ICPC 2 ID (P667),111,0.01
Foundational Model of Anatomy ID (P1402),111,0.01
diplomatic mission sent (P531),111,0.01
basionym (P566),110,0.01
vessel class (P289),107,0.01
element symbol (P246),107,0.01
radio format (P415),107,0.01
atomic number (P1086),106,0.01
wheel arrangement (P2978),106,0.01
maximum temperature record (P6591),104,0.01
Unicode hex codepoint (P4213),104,0.01
maximum sustained winds (P2895),104,0.01
official symbol (P2238),104,0.01
quantity (P1114),104,0.01
speed (P2052),103,0.01
event interval (P2257),102,0.01
represents (P1268),102,0.01
lowest atmospheric pressure (P2532),102,0.01
taxonomic type (P427),101,0.01
wears (P3828),100,0.01
Danish Bibliometric Research Indicator level (P1240),100,0.01
last words (P3909),99,0.01
located in the statistical territorial entity (P8138),98,0.01
parliamentary group (P4100),98,0.01
minimum temperature record (P7422),97,0.01
ESRB rating (P852),97,0.01
ISOCAT id (P2263),97,0.01
genetic association (P2293),97,0.01
winter view (P5252),97,0.01
domain of saint or deity (P2925),97,0.01
animal breed (P4743),96,0.01
route diagram (P3858),95,0.01
official religion (P3075),95,0.01
volcano observatory (P3815),95,0.01
member of the crew of (P5096),95,0.01
airline accounting code (P5703),94,0.01
narrative role (P5800),93,0.01
immediately dangerous to life or health (P2129),93,0.01
taxon synonym (P1420),93,0.01
gestation period (P3063),93,0.01
commanded by (P4791),93,0.01
electronegativity (P1108),92,0.01
member of military unit (P7779),92,0.01
stated in (P248),91,0.01
official residence (P263),91,0.01
diameter (P2386),91,0.01
railway traffic side (P5658),91,0.01
wing configuration (P1654),90,0.01
ISCO-88 occupation code (P952),90,0.01
winner (P1346),90,0.01
station code (P296),89,0.01
narrator (P2438),88,0.01
IMDA rating (P5201),88,0.01
species kept (P1990),87,0.01
illustrator (P110),87,0.01
USK rating (P914),87,0.01
newspaper format (P3912),87,0.01
Hornbostel-Sachs classification (P1762),87,0.01
topographic isolation (P2659),86,0.01
UNESCO Biosphere Reserve URL (P2520),85,0.01
publication interval (P2896),85,0.01
label in sign language (P2919),85,0.01
HURDAT identifier (P502),85,0.01
carries (P2505),85,0.01
FPB rating (P4437),84,0.01
military designation (P798),83,0.01
officially opened by (P542),83,0.01
exhibition history (P608),83,0.01
document file on Wikimedia Commons (P996),82,0.01
coordinates of geographic center (P5140),82,0.01
has boundary (P4777),81,0.01
molecular model or crystal lattice model (P8224),81,0.01
medical condition treated (P2175),80,0.01
era name (P6902),80,0.01
seal description (P418),80,0.01
file extension (P1195),79,0.01
located on astronomical body (P376),79,0.01
MAC Address Block Large ID (P4776),79,0.01
contains (P4330),79,0.01
wheelbase (P3039),79,0.01
bowling style (P2545),78,0.01
location of discovery (P189),77,0.01
IFCO rating (P7573),77,0.01
day in year for periodic occurrence (P837),77,0.01
enclave within (P501),77,0.01
mean age (P4442),77,0.01
form of creative work (P7937),77,0.01
EIRIN film rating (P2756),76,0.01
endemic to (P183),76,0.01
attendance (P1110),76,0.01
investigated by (P1840),75,0.01
NATO reporting name (P561),75,0.01
conscription number (P4856),74,0.01
ionization energy (P2260),73,0.01
found in taxon (P703),73,0.01
Eight Banner register (P470),72,0.01
number of representatives in an organization/legislature or won in elections (P1410),72,0.01
terminus location (P609),72,0.01
market capitalization (P2226),72,0.01
source code repository (P1324),72,0.01
dedicated heritage entity (P8786),71,0.01
symptoms (P780),71,0.01
grants (P5460),71,0.01
manifestation of (P1557),71,0.01
youth wing (P4379),70,0.01
ground level 360 degree view (P5282),70,0.01
literacy rate (P6897),70,0.01
residence time of water (P3020),70,0.01
superhuman feature or ability (P2563),69,0.01
anatomical location (P927),69,0.01
supported sports team (P6758),69,0.01
INCAA film rating (P3428),69,0.01
original film format (P3803),68,0.01
yard number (P617),68,0.01
home port (P504),67,0.01
CPU (P880),67,0.01
solubility (P2177),66,0.01
number of graves (P2351),66,0.01
village code of Indonesia (P1588),66,0.01
language regulatory body (P1018),66,0.01
art director (P3174),66,0.01
orbital eccentricity (P1096),66,0.01
call sign (P2317),66,0.01
connecting service (P1192),65,0.01
suicide rate (P3864),65,0.01
webcam page URL (P4238),65,0.01
fleet or registration number (P2802),65,0.01
structure replaced by (P167),65,0.01
PEGI rating (P908),64,0.01
category for recipients of this award (P2517),64,0.01
Code of nomenclature (P944),64,0.01
curator (P1640),64,0.01
Wi-Fi access (P2848),63,0.01
objective of project or action (P3712),63,0.01
territory claimed by (P1336),63,0.01
model item (P5869),62,0.0
open days (P3025),62,0.0
review score (P444),61,0.0
egg incubation period (P7770),61,0.0
contributor to the creative work or subject (P767),61,0.0
charge (P1595),60,0.0
orbital inclination (P2045),60,0.0
semi-major axis of an orbit (P2233),60,0.0
parent astronomical body (P397),60,0.0
number of cylinders (P1100),60,0.0
number of elevators (P1301),59,0.0
orbital period (P2146),59,0.0
physically interacts with (P129),59,0.0
vehicle normally used (P3438),59,0.0
Status in the Red List of Threatened Species in the Czech Republic (P5841),59,0.0
approved by (P790),58,0.0
type of electrification (P930),58,0.0
destination point (P1444),58,0.0
fee (P2555),58,0.0
first appearance (P4584),58,0.0
flash point (P2128),57,0.0
periapsis (P2244),57,0.0
code (P3295),57,0.0
airline alliance (P114),57,0.0
World Health Organisation International Nonproprietary Name (P2275),57,0.0
isomeric SMILES (P2017),56,0.0
endowment (P6589),56,0.0
film crew member (P3092),56,0.0
apoapsis (P2243),56,0.0
translator (P655),55,0.0
parent peak (P3137),55,0.0
software engine (P408),54,0.0
wheelchair accessibility (P2846),54,0.0
media type (P1163),54,0.0
discontinued date (P2669),54,0.0
maximum gradient (P2595),53,0.0
installed capacity (P2109),53,0.0
IGAC rating (P5150),53,0.0
UTC date of spacecraft launch (P619),53,0.0
number of pages (P1104),52,0.0
theme music (P942),52,0.0
reservoir created (P4661),52,0.0
organization directed by the office or person (P2389),52,0.0
natural product of taxon (P1582),52,0.0
crew member (P1029),52,0.0
edition or translation of (P629),51,0.0
mount (P3091),51,0.0
lower flammable limit (P2202),50,0.0
3D model (P4896),50,0.0
shape (P1419),50,0.0
conferred by (P1027),50,0.0
game mechanics (P4151),50,0.0
common equity tier 1 capital ratio (CETI) (P2663),49,0.0
category for films in this language (P5996),49,0.0
number of volunteers (P6125),49,0.0
camera setup (P4312),49,0.0
